Target,Beginning ,Middle,End,Begin ? Mid,Begin ? End,Mid ? End,Mid ? Start,,,,,,,,,,,,,,,,
libpng,0.90132,0.91667,0.91667,-0.01535,-0.01535,0,0.01535,,,0.90132,0.91667,0.91667,,,,,,,,,,,
tcp,0.96832,0.96832,0.96832,0,0,0,0,,,0.96832,0.96832,0.96832,0.96832,0.96832,0.96832,0.96832,0.96832,0.96918,0.96832,0.96832,0.96832,0.96832,0.96832
matdump,0.92857,0.90206,0.91721,0.02651,0.01136,-0.01515,-0.02651,,,0.92857,0.921,0.90206,0.91721,,,,,,,,,,
mruby heap buffer overflow,0.96154,0.92028,0.92028,0.04126,0.04126,0,-0.04126,,,0.96154,0.96154,0.96154,0.92028,0.92028,0.92028,,,,,,,,
mruby uninitalized variable,0.98905,0.98798,0.98798,0.00107000000000002,0.00107000000000002,0,-0.00107000000000002,,,0.98905,0.98798,0.98798,,,,,,,,,,,
nm,0.94816,0.91472,0.92308,0.03344,z,-0.00836000000000003,-0.03344,,,0.94816,0.94816,0.94816,0.91472,0.91472,0.92308,,,,,,,,
lua,0.96404,0.96404,0.96416,0,-0.000120000000000009,-0.000120000000000009,0,,,0.96404,0.96404,0.96404,0.96404,0.96404,0.96404,0.96404,0.96416,0.96416,0.96416,0.96416,,,
perl,0.98698,0.98698,0.98698,0,0,0,0,,,0.98698,0.98698,,,,,,,,,,,,
libsixel,0.94444,0.94444,0.93194,0,0.0125,0.0125,0,,,0.94444,0.93194,0.94444,0.93819,0.93194,0.94444,0.93194,0.93194,0.93194,0.93194,,,,
patch,0.98895,0.98895,0.98895,0,0,0,0,,,0.98895,0.98895,0.98895,0.98895,0.98895,,,,,,,,,
sleuthkit,0.90519,0.97468,0.97468,-0.0694899999999999,-0.0694899999999999,0,0.0694899999999999,,,0.90519,0.97468,,,,,,,,,,,,
readelf,0.99479,0.99798,0.99479,-0.00319000000000003,0,0.00319000000000003,0.00319000000000003,,,0.99479,0.99798,0.99798,0.99511,0.99479,,,,,,,,,
