Test Case,Aurora,,LOC,,LOC with source ,,Basic block,,,,,,,,
,Predicates,SLOC,Predicates,SLOC,Predicates,SLOC,Predicates,SLOC,,,,,,,
cjpeg_divide_by_zero_trace,2,2,1,1,1,1,1,2,,,,2,1,1,1
cjpeg_heap_buffer_overflow_trace,1,1,1,1,1,1,14,11,,,,1,1,1,14
ezxml_trace,3,1,3,1,3,1,4,1,,,,3,3,3,4
fls_trace,4,3,3,2,3,2,18,15,,,,4,3,3,18
img2sixel_trace,27,12,12,12,12,12,16,14,,,,27,12,12,16
lua_trace,119,53,44,42,44,42,28,26,,,,119,44,44,28
matdump_trace,3,3,2,2,2,2,3,3,,,,3,2,2,3
mruby_heap_buffer_overflow_trace,1,1,1,1,1,1,1,1,,,,1,1,1,1
mruby_integer_overflow_trace,4,3,2,2,2,2,168,140,,,,4,2,2,168
mruby_trace,75,35,24,21,24,21,16,15,,,,75,24,24,16
mruby_uninitialized_variable_trace,2,2,2,2,2,2,2,2,,,,2,2,2,2
nm_trace,3,2,4,4,4,4,3,3,,,,3,4,4,3
patch_trace,2,2,7,5,7,5,6,6,,,,2,7,7,6
perl_trace,112,33,43,28,43,28,17,14,,,,112,43,43,17
pngimage_trace,10,5,3,3,3,3,4,4,,,,10,3,3,4
python_trace,309,198,241,177,276,188,256,178,,,,309,241,276,256
readelf_trace,4,2,2,2,2,2,1,1,,,,4,2,2,1
tcpdump_trace,3,2,2,1,2,1,23,17,,,,3,2,2,23
xmllint_trace,87,55,31,29,31,29,25,23,,,,87,31,31,25
ziptool_trace,9,7,5,5,5,5,7,6,,,,9,5,5,7
